Program,Worker,Count,CPU_Percent,Mem,IO,Time_Seconds
A,cpu,2,98.20,4088.00,8117.72,30.961268049
A,cpu,3,101.88,5252.00,7980.16,46.436948041
A,cpu,4,101.90,6380.00,7971.36,61.960649235
A,cpu,5,101.80,7808.00,7959.83,77.202453815
A,mem,2,40.40,454640.00,9557.1,25.516305306
A,mem,3,69.82,671574.40,10768.5,26.114043216
A,mem,4,87.36,857672.00,7936,29.604658144
A,mem,5,100.20,1036888.80,7998.48,32.446103952
A,io,2,17.28,4136.00,117572,29.773798146
A,io,3,18.08,5324.00,119121,80.713247311
A,io,4,13.60,6528.00,119180,48.317634323
A,io,5,14.20,7844.00,132383,55.083040544
B,cpu,2,100.00,2100.00,8490.66,31.032386282
B,cpu,3,100.00,2044.00,8600.37,46.504788624
B,cpu,4,98.18,1980.00,11520.4,61.931406903
B,cpu,5,101.80,2056.00,8478.67,76.086060140
B,cpu,6,99.80,2108.00,8459.68,91.174502871
B,cpu,7,100.00,2096.00,8413.67,106.283576249
B,cpu,8,100.00,2088.00,8940.65,123.858444801
B,mem,2,43.18,452596.00,8415.25,25.617855483
B,mem,3,61.28,665229.60,8362.47,27.388773394
B,mem,4,75.40,849687.20,9502.03,28.167119681
B,mem,5,87.46,121843.28,8357.34,31.183061885
B,mem,6,90.82,121913.04,8351.95,35.143466973
B,mem,7,91.42,118864.40,8346.92,42.172776315
B,mem,8,91.36,120517.36,8339.53,51.473631729
B,io,2,15.32,1964.00,124499,29.068477148
B,io,3,14.12,2128.00,157528,63.750896680
B,io,4,17.24,2116.00,154175,40.762077591
B,io,5,18.32,2308.00,186031,46.695204030
B,io,6,21.54,2296.00,200593,56.149158258
B,io,7,23.44,2380.00,195422,62.284608612
B,io,8,21.92,2480.00,214322,69.027639133
